mendel@bored-horse:~/examples-camera/gstreamer$ python3 detect.py --videosrc rtsp://wowzaec2demo.streamlock.net/vod/mp4:BigBuckBunny_115k.mp4
Loading ../all_models/mobilenet_ssd_v2_coco_quant_postprocess_edgetpu.tflite with ../all_models/coco_labels.txt labels.
Gstreamer pipeline:
 rtspsrc location=rtsp://wowzaec2demo.streamlock.net/vod/mp4:BigBuckBunny_115k.mp4 ! decodebin ! glupload ! tee name=t
                t. ! queue ! glfilterbin filter=glbox name=glbox ! video/x-raw,format=RGB,width=300,height=300 ! appsink name=appsink emit-signals=true max-buffers=1 drop=true
                t. ! queue ! glsvgoverlaysink name=overlaysink
            
Inference: 42.86 ms FPS: 0 fps
Inference: 23.64 ms FPS: 1 fps
Inference: 20.98 ms FPS: 1 fps
Inference: 21.17 ms FPS: 2 fps
Inference: 18.36 ms FPS: 2 fps
Inference: 20.23 ms FPS: 3 fps
Inference: 19.07 ms FPS: 3 fps
Inference: 21.97 ms FPS: 4 fps
Inference: 20.07 ms FPS: 4 fps
Inference: 24.46 ms FPS: 4 fps
Inference: 24.05 ms FPS: 5 fps
Inference: 21.02 ms FPS: 5 fps
Inference: 19.05 ms FPS: 6 fps
Inference: 18.33 ms FPS: 6 fps
Inference: 22.95 ms FPS: 6 fps
Inference: 21.94 ms FPS: 7 fps
Inference: 20.93 ms FPS: 7 fps
Inference: 24.50 ms FPS: 7 fps
Inference: 18.36 ms FPS: 8 fps
Inference: 17.82 ms FPS: 8 fps
Inference: 17.95 ms FPS: 8 fps
Inference: 18.18 ms FPS: 8 fps
Inference: 22.19 ms FPS: 9 fps
Inference: 20.17 ms FPS: 9 fps
Inference: 20.86 ms FPS: 9 fps
Inference: 20.43 ms FPS: 9 fps
Inference: 18.98 ms FPS: 10 fps
Inference: 18.85 ms FPS: 10 fps
Inference: 20.76 ms FPS: 10 fps
Inference: 17.92 ms FPS: 10 fps
Inference: 19.76 ms FPS: 11 fps
Inference: 23.27 ms FPS: 26 fps
Inference: 20.14 ms FPS: 26 fps
Inference: 18.98 ms FPS: 26 fps
Inference: 20.50 ms FPS: 26 fps
Inference: 22.33 ms FPS: 25 fps
Inference: 21.11 ms FPS: 25 fps
Inference: 17.90 ms FPS: 26 fps
Inference: 20.21 ms FPS: 25 fps
Inference: 19.06 ms FPS: 26 fps
Inference: 19.76 ms FPS: 25 fps
Inference: 21.02 ms FPS: 25 fps
Inference: 19.06 ms FPS: 25 fps
Inference: 20.36 ms FPS: 25 fps
Inference: 24.39 ms FPS: 25 fps
Inference: 23.12 ms FPS: 25 fps
Inference: 21.30 ms FPS: 25 fps
Inference: 21.04 ms FPS: 25 fps
Inference: 22.29 ms FPS: 24 fps
Inference: 20.72 ms FPS: 25 fps
Inference: 20.48 ms FPS: 24 fps
Inference: 18.98 ms FPS: 24 fps
Inference: 23.13 ms FPS: 24 fps
Inference: 22.20 ms FPS: 24 fps
Inference: 21.70 ms FPS: 24 fps
Inference: 22.35 ms FPS: 24 fps
Inference: 22.26 ms FPS: 24 fps
Inference: 20.92 ms FPS: 24 fps
Inference: 20.66 ms FPS: 24 fps
Inference: 22.23 ms FPS: 24 fps
Inference: 22.80 ms FPS: 24 fps
Inference: 20.99 ms FPS: 24 fps
Inference: 20.61 ms FPS: 24 fps
Inference: 21.24 ms FPS: 24 fps
Inference: 21.52 ms FPS: 24 fps
Inference: 20.70 ms FPS: 24 fps
Inference: 20.25 ms FPS: 24 fps
Inference: 21.36 ms FPS: 24 fps
Inference: 22.53 ms FPS: 24 fps
Inference: 21.73 ms FPS: 24 fps
Inference: 21.83 ms FPS: 24 fps
Inference: 22.10 ms FPS: 24 fps
Inference: 20.30 ms FPS: 24 fps
Inference: 23.37 ms FPS: 24 fps
Inference: 22.54 ms FPS: 24 fps
Inference: 22.29 ms FPS: 24 fps
Inference: 22.11 ms FPS: 24 fps
Inference: 19.45 ms FPS: 24 fps
Inference: 20.74 ms FPS: 24 fps
Inference: 22.69 ms FPS: 24 fps
Inference: 20.85 ms FPS: 24 fps
Inference: 20.55 ms FPS: 24 fps
Inference: 22.09 ms FPS: 24 fps
Inference: 22.02 ms FPS: 24 fps
Inference: 20.92 ms FPS: 24 fps
Inference: 21.78 ms FPS: 24 fps
Inference: 20.13 ms FPS: 24 fps
Inference: 21.80 ms FPS: 24 fps
Inference: 21.21 ms FPS: 24 fps
Inference: 17.66 ms FPS: 24 fps
Inference: 20.80 ms FPS: 24 fps
Inference: 20.83 ms FPS: 24 fps
Inference: 22.01 ms FPS: 24 fps
Inference: 16.75 ms FPS: 24 fps
Inference: 23.71 ms FPS: 24 fps
Inference: 22.33 ms FPS: 24 fps
Inference: 19.33 ms FPS: 24 fps
Inference: 19.82 ms FPS: 24 fps
Inference: 20.06 ms FPS: 24 fps
Inference: 21.31 ms FPS: 24 fps
Inference: 23.23 ms FPS: 24 fps
Inference: 20.21 ms FPS: 24 fps
Inference: 18.75 ms FPS: 24 fps
Inference: 20.50 ms FPS: 24 fps
Inference: 20.11 ms FPS: 24 fps
Inference: 20.23 ms FPS: 24 fps
Inference: 23.27 ms FPS: 24 fps
Inference: 24.55 ms FPS: 24 fps
Inference: 20.37 ms FPS: 24 fps
Inference: 22.40 ms FPS: 24 fps
Inference: 18.05 ms FPS: 24 fps
Inference: 20.15 ms FPS: 24 fps
Inference: 18.52 ms FPS: 24 fps
Inference: 22.54 ms FPS: 24 fps
Inference: 20.74 ms FPS: 24 fps
Inference: 21.14 ms FPS: 24 fps
Inference: 21.82 ms FPS: 24 fps
Inference: 20.38 ms FPS: 24 fps
Inference: 23.25 ms FPS: 24 fps
Inference: 21.72 ms FPS: 24 fps
Inference: 23.65 ms FPS: 24 fps
Inference: 22.87 ms FPS: 24 fps
Inference: 16.91 ms FPS: 24 fps
Inference: 22.45 ms FPS: 24 fps
Inference: 22.99 ms FPS: 24 fps
Inference: 21.23 ms FPS: 24 fps
Inference: 20.99 ms FPS: 24 fps
Inference: 20.46 ms FPS: 24 fps
Inference: 21.17 ms FPS: 24 fps
Inference: 22.97 ms FPS: 24 fps
Inference: 20.94 ms FPS: 24 fps
Inference: 21.15 ms FPS: 24 fps
Inference: 20.70 ms FPS: 24 fps
Inference: 19.64 ms FPS: 24 fps
Inference: 21.37 ms FPS: 24 fps
Inference: 19.56 ms FPS: 24 fps
Inference: 21.62 ms FPS: 24 fps
Inference: 20.92 ms FPS: 24 fps
Inference: 23.93 ms FPS: 24 fps
Inference: 24.16 ms FPS: 24 fps
Inference: 20.22 ms FPS: 24 fps
Inference: 22.81 ms FPS: 24 fps
Inference: 21.98 ms FPS: 24 fps
Inference: 21.80 ms FPS: 24 fps
Inference: 20.40 ms FPS: 24 fps
Inference: 18.81 ms FPS: 24 fps
Inference: 20.64 ms FPS: 24 fps
Inference: 21.27 ms FPS: 24 fps
Inference: 21.65 ms FPS: 24 fps
Inference: 21.95 ms FPS: 24 fps
Inference: 21.37 ms FPS: 24 fps
Inference: 21.34 ms FPS: 24 fps
^CInference: 21.47 ms FPS: 24 fps
Inference: 21.05 ms FPS: 24 fps
